arXiv:1411.0030, Title: A* Sampling
arXiv:1411.3650, Title: DUM: Diversity-Weighted Utility Maximization for Recommendations
arXiv:1411.3685, Title: A warped kernel improving robustness in Bayesian optimization via random  embeddings
arXiv:1411.3776, Title: Measuring Influence in Twitter Ecosystems using a Counting Process  Modeling Framework
arXiv:1411.3816, Title: Monte Carlo error analyses of Spearman's rank test
arXiv:1411.4000, Title: How to Scale Up Kernel Methods to Be As Good As Deep Neural Nets
arXiv:1411.4005, Title: A convex formulation for hyperspectral image superresolution via  subspace-based regularization
arXiv:1411.4072, Title: Learning Multi-Relational Semantics Using Neural-Embedding Models
arXiv:1411.4199, Title: Revisiting Kernelized Locality-Sensitive Hashing for Improved  Large-Scale Image Retrieval
arXiv:1411.4281, Title: An Improved Hazard Rate Twisting Approach for the Statistic of the Sum  of Subexponential Variates (Extended Version)
arXiv:1411.4314, Title: Hierarchical and Matrix Structures in a Large Organizational Email  Network: Visualization and Modeling Approaches
arXiv:1411.4503, Title: Outlier-Robust Convex Segmentation
arXiv:1411.4648, Title: A unifying framework for relaxations of the causal assumptions in Bell's  theorem
arXiv:1411.4695, Title: Feedback Solution to Optimal Switching Problems with Switching Cost
arXiv:1411.4750, Title: Convergence rates of maximal deviation distribution for projection  estimates of Lévy densities
arXiv:1411.4867, Title: Respondent-driven sampling and an unusual epidemic
arXiv:1411.5159, Title: Large deviations of the realized (co-)volatility vector
arXiv:1411.5172, Title: Learning nonparametric differential equations with operator-valued  kernels and gradient matching
arXiv:1411.5179, Title: A new algorithm for wavelet-based heart rate variability analysis
arXiv:1411.5371, Title: Unification of field theory and maximum entropy methods for learning  probability densities
arXiv:1411.5383, Title: Johnson-Lindenstrauss Compression with Neuroscience-Based Constraints
arXiv:1411.5404, Title: Stochastic Block Transition Models for Dynamic Networks
arXiv:1411.5417, Title: Private Empirical Risk Minimization Beyond the Worst Case: The Effect of  the Constraint Set Geometry
arXiv:1411.5595, Title: Linking GloVe with word2vec
arXiv:1411.5620, Title: Maximum Entropy Kernels for System Identification
arXiv:1411.5625, Title: Two maxentropic approaches to determine the probability density of  compound risk losses
arXiv:1411.5639, Title: N-sphere chord length distribution
arXiv:1411.5731, Title: Visual Sentiment Prediction with Deep Convolutional Neural Networks
arXiv:1411.5732, Title: A Joint Probabilistic Classification Model of Relevant and Irrelevant  Sentences in Mathematical Word Problems
arXiv:1411.5915, Title: Robust EM kernel-based methods for linear system identification
arXiv:1411.5988, Title: Clustering evolving data using kernel-based methods
arXiv:1411.6081, Title: PU Learning for Matrix Completion
arXiv:1411.6156, Title: Efficiently learning Ising models on arbitrary graphs
arXiv:1411.6179, Title: Spatiotemporal Detection of Unusual Human Population Behavior Using  Mobile Phone Data
arXiv:1411.6265, Title: Gaussian Phase Transitions and Conic Intrinsic Volumes: Steining the  Steiner Formula
arXiv:1411.6285, Title: Target Fishing: A Single-Label or Multi-Label Problem?
arXiv:1411.6307, Title: Diversifying Sparsity Using Variational Determinantal Point Processes
arXiv:1411.6370, Title: Big Learning with Bayesian Methods
arXiv:1411.6529, Title: The Optimal Arbitrary-Proportional Finite-Set-Partitioning
arXiv:1411.6591, Title: A Latent Source Model for Online Collaborative Filtering
arXiv:1411.6651, Title: A Greedy, Flexible Algorithm to Learn an Optimal Bayesian Network  Structure
arXiv:1411.6970, Title: Post-acquisition image based compensation for thickness variation in  microscopy section series
arXiv:1411.7245, Title: Heuristics for Exact Nonnegative Matrix Factorization
arXiv:1411.7346, Title: A Chasm Between Identity and Equivalence Testing with Conditional  Queries
arXiv:1411.7414, Title: Signal Recovery on Graphs: Variation Minimization
arXiv:1411.7441, Title: Pattern Decomposition with Complex Combinatorial Constraints:  Application to Materials Discovery
arXiv:1411.7596, Title: Convex Techniques for Model Selection
arXiv:1411.7717, Title: On the Expressive Efficiency of Sum Product Networks
arXiv:1411.7920, Title: Probability Theory without Bayes' Rule
arXiv:1411.7973, Title: Bus Travel Time Predictions Using Additive Models
